sla_event_id,ticket_id,sla_policy_name,metric,sla_applied_at,target,in_business_hours,sla_breach_at,sla_elapsed_time,is_active_sla,is_sla_breach,ticket_group,ticket_brand,ticket_form,requester_organization,ticket_channel
1,156823,Dunder Mifflin SLA - Support,first_reply_time,2023-08-07 06:37:02.000000,60,FALSE,2023-08-07 07:37:02.000000,46,FALSE,FALSE,Jim's Prank Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Radiant Beauty Salons,web
2,151995,Dunder Mifflin SLA - Support,first_reply_time,2023-07-10 21:22:53.000000,60,FALSE,2023-07-10 22:22:53.000000,26,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Pulse Advertising Agency,web
3,153871,Sabre Tickets - Support,first_reply_time,2023-07-20 14:21:03.000000,60,TRUE,2023-07-20 15:21:03.000000,5,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Palm Grove Resorts,web
4,152084,Sabre Tickets - Support,first_reply_time,2023-07-11 12:30:04.000000,60,TRUE,2023-07-11 13:30:04.000000,3,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Vintage Vino Wineries,web
5,157235,Sabre Tickets - Support,first_reply_time,2023-08-09 05:58:42.000000,60,FALSE,2023-08-09 06:58:42.000000,1,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Omega Financial Solutions,web
6,157770,Sabre Tickets - Support,first_reply_time,2023-08-11 14:38:47.000000,60,FALSE,2023-08-11 15:38:47.000000,10,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Stellar Sky Airlines,web
7,156624,Sabre Tickets - Support,first_reply_time,2023-08-04 13:54:48.000000,60,FALSE,2023-08-04 14:54:48.000000,4,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Echo Music Studios,web
8,153609,Paper Tier 5 SLA - Support,first_reply_time,2023-07-19 13:13:32.000000,60,FALSE,2023-07-19 14:13:32.000000,10,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Majestic Jewelers,web
9,153150,Paper Tier 5 SLA - Support,first_reply_time,2023-07-17 15:36:05.000000,60,FALSE,2023-07-17 16:36:05.000000,28,FALSE,FALSE,Party Planning Committee Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Quasar Electronics,web
10,152455,Paper Tier 5 SLA - Support,first_reply_time,2023-07-12 21:23:13.000000,60,TRUE,2023-07-12 22:23:13.000000,27,FALSE,FALSE,Jim's Prank Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Regal Furnishings,web
11,157102,Paper Tier 5 SLA - Support,first_reply_time,2023-08-08 14:45:40.000000,60,TRUE,2023-08-08 15:45:40.000000,3,FALSE,FALSE,Scranton Strangler Sightings,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Omega Financial Solutions,web
12,155366,Paper Tier 5 SLA - Support,first_reply_time,2023-07-28 13:52:00.000000,60,TRUE,2023-07-28 14:52:00.000000,38,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Nova Education Centers,web
13,156304,Dunder Mifflin SLA - Support,first_reply_time,2023-08-02 19:46:15.000000,60,TRUE,2023-08-02 20:46:15.000000,19,FALSE,FALSE,Assistant to the Regional Manager Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,PrimePrint Publishers,web
14,151058,Paper Tier 4 SLA - Support,first_reply_time,2023-07-04 17:14:16.000000,60,FALSE,2023-07-04 18:14:16.000000,1,FALSE,FALSE,Serenity by Jan Candle Refunds,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Elegant Events Planners,web
15,157531,Paper Tier 5 SLA - Support,first_reply_time,2023-08-10 12:32:00.000000,60,FALSE,2023-08-10 13:32:00.000000,3,FALSE,FALSE,Serenity by Jan Candle Refunds,Dunder Mifflin Support,Dunder Mifflin Ticket Form,FutureSoft Developers,web
16,152177,Paper Tier 5 SLA - Support,first_reply_time,2023-07-11 17:40:48.000000,60,FALSE,2023-07-11 18:40:48.000000,1,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,LightSpeed Delivery,web
17,153193,Dunder Mifflin SLA - Support,first_reply_time,2023-07-17 17:54:16.000000,60,TRUE,2023-07-17 18:54:16.000000,9,FALSE,FALSE,Serenity by Jan Candle Refunds,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Pulse Advertising Agency,web
18,155571,Dunder Mifflin SLA - Support,first_reply_time,2023-07-31 02:29:53.000000,60,TRUE,2023-07-31 03:29:53.000000,16010,FALSE,TRUE,Jim's Prank Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Olive Groves Caterers,web
19,150771,Sabre Tickets - Support,first_reply_time,2023-07-02 20:58:57.000000,60,FALSE,2023-07-02 21:58:57.000000,7,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Regal Furnishings,web
20,155083,Paper Tier 5 SLA - Support,first_reply_time,2023-07-27 14:45:17.000000,60,TRUE,2023-07-27 15:45:17.000000,12,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,BlueWave Marine Supplies,web
21,150855,Sabre Tickets - Support,first_reply_time,2023-07-03 14:00:07.000000,60,FALSE,2023-07-03 15:00:07.000000,12,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Urban Design Studios,web
22,154555,Sabre Tickets - Support,first_reply_time,2023-07-25 13:26:33.000000,60,TRUE,2023-07-25 14:26:33.000000,0,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Metro Daily News,email
23,151373,Paper Tier 5 SLA - Support,first_reply_time,2023-07-06 08:55:42.000000,60,FALSE,2023-07-06 09:55:42.000000,47,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Evergreen Landscapes,web
24,150872,Paper Tier 5 SLA - Support,first_reply_time,2023-07-03 15:20:07.000000,60,FALSE,2023-07-03 16:20:07.000000,2,FALSE,FALSE,Jim's Prank Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,DreamSpace Interiors,web
25,155411,Sabre Tickets - Support,first_reply_time,2023-07-28 16:46:43.000000,60,FALSE,2023-07-28 17:46:43.000000,20,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Metro Daily News,web
26,155706,Sabre Tickets - Support,first_reply_time,2023-07-31 15:53:25.000000,60,TRUE,2023-07-31 16:53:25.000000,12,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Cloud 9 Airlines,web
27,152157,Sabre Tickets - Support,first_reply_time,2023-07-11 16:42:33.000000,60,FALSE,2023-07-11 17:42:33.000000,13,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Quasar Electronics,web
28,151730,Sabre Tickets - Support,first_reply_time,2023-07-08 06:57:30.000000,60,TRUE,2023-07-08 07:57:30.000000,11,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Echo Music Studios,web
29,156274,Paper Tier 5 SLA - Support,first_reply_time,2023-08-02 17:42:43.000000,60,TRUE,2023-08-02 18:42:43.000000,28,FALSE,FALSE,Dundie Awards Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Evergreen Landscapes,web
30,150742,Paper Tier 5 SLA - Support,first_reply_time,2023-07-01 19:05:44.000000,60,FALSE,2023-07-01 20:05:44.000000,25,FALSE,FALSE,Serenity by Jan Candle Refunds,Dunder Mifflin Support,Dunder Mifflin Ticket Form,CityView Real Estates,web
31,152492,Paper Tier 3 SLA - Support,first_reply_time,2023-07-13 05:01:16.000000,60,FALSE,2023-07-13 06:01:16.000000,2,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Pulse Advertising Agency,web
32,154452,Dunder Mifflin SLA - Support,first_reply_time,2023-07-24 22:10:32.000000,60,TRUE,2023-07-24 23:10:32.000000,10,FALSE,FALSE,Assistant to the Regional Manager Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,NatureWalk Shoes,web
33,156678,Paper Tier 5 SLA - Support,first_reply_time,2023-08-04 17:26:19.000000,60,TRUE,2023-08-04 18:26:19.000000,0,FALSE,FALSE,Party Planning Committee Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Atlas Travels,web
34,151898,Sabre Tickets - Support,first_reply_time,2023-07-10 15:08:01.000000,60,FALSE,2023-07-10 16:08:01.000000,2,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Vintage Vino Wineries,web
35,157564,Sabre Tickets - Support,first_reply_time,2023-08-10 14:11:17.000000,60,FALSE,2023-08-10 15:11:17.000000,3,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Echo Music Studios,web
36,152739,Sabre Tickets - Support,first_reply_time,2023-07-14 00:39:23.000000,60,FALSE,2023-07-14 01:39:23.000000,3,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,BlueWave Marine Supplies,web
37,157861,Sabre Tickets - Support,first_reply_time,2023-08-12 02:59:28.000000,60,FALSE,2023-08-12 03:59:28.000000,4,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Echo Music Studios,web
